id,question,answer,box,date_created
65,Minä syön / minä en syö …    herne,herneitä,3,
66,tuore,tuoreita,3,
67,jää,jäitä,3,
68,Minä syön / minä en syö …    suklaa,suklaita,3,
69,Minä syön / minä en syö …    mansikka,mansikoita,3,
70,Minä syön / minä en syö …    sämpylä,sämpylöitä,3,
71,Minä syön / minä en syö …    peruna,perunoita,3,
72,Minä syön / minä en syö …    makkara,makkaroita,3,
73,Minä syön / minä en syö …    porkkana,porkkanoita,3,
74,Minä syön / minä en syö …    omena,omenoita,3,
75,Minä syön / minä en syö …    kakku,kakkuja,3,
76,Minä syön / minä en syö …    banaani,banaaneja,3,
77,asiakas,asiakkaita,3,
78,kysymys,kysymyksia,3,
79,Minä syön / minä en syö …    lihapulla,lihapullia,3,
80,Minä syön / minä en syö …    nakki,nakkeja,3,
81,Minä syön / minä en syö …    viinirypäle,viinirypäleleitä,3,
82,Minä syön / minä en syö …    hedelmä,hedelmiä,3,
83,Minä syön / minä en syö …    vihannes,vikanneksia,3,
84,Minä syön / minä en syö …    vastaus,vastauksia,3,
85,Minä syön / minä en syö …    ostos,ostoksia,3,
86,Helsingissä on paljon …    rakennus,rakennuksia,3,
87,Helsingissä on paljon …    kauppa,kauppaja,3,
88,Helsingissä on paljon …    ihminen,ihmisia,3,
89,Helsingissä on paljon …    suomalainen,suomalaisia,3,
90,Helsingissä on paljon …    turisti,turisteja,3,
91,Helsingissä on paljon …    puisto,puistoja,3,
92,Helsingissä on paljon …    ranta,rantoja,3,
93,Helsingissä on paljon …    juna,junia,3,
94,Minulla on paljon …    tavara,tavaroita,3,
95,Minulla on paljon …    ystävä,ystäviä,3,
96,Minulla on paljon …    sukulainen,sukulaisia,3,
97,Minulla on paljon …    kaveri,kavereita,3,
98,Minulla on paljon …    vaate,vaateita,3,
99,Minulla on paljon …    kotitehtävä,kotitehtäviä,3,
100,Minulla on paljon …    sormus,sormuksia,3,
101,Minulla on paljon …    sunnitelma,sunnitelmia,3,
